,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021
 rêve,,,,   ,,"mariage dans un 
musée avec un prêtre chelou avec que des enfants",don't remember,"In a medical museum, 
with organs and living humans in coma. At the end one of the museum people look at my guts and complement them (they are out of my body)","Buy some Black dress
 for 
Manon with piggy 
barking. The character homme des cvernes is here at some point we fall.
2. I am with Julie she want's me to become vegan and I become veagan. I am reading a magazine and mom have taken all the freebies 
","I was a little girl 
chased by nazis and trying to hide myself when I see my mother. And we start playing this board game kind of like D&D and chess. And I didn't understand how to win it ","Haunted house were
someone was tying to mess with us ","Trip with
 the family and at some point there is this girl who tries to get into some very high office because she got fired from it. At the point she is some kind of super hero ",don't remember,don't remember,"Japan WW2
people flame the appartmeent and kill mom, I run off with the cat. Their is a boulangerie ","Gare de train 
picsine ",,,"Je ne fait que rater mon train de très près. Je rencontre mon institutrice d'Amsterdam (ce n'était pas le vrai) Léo ce fait presque manger les jambes par un monstre marin qui vit autour de la gare, il y a beaucoup de monde. On va dormir chez mamie en famille. Il y a une chambre avec des grenouilles. ",don't remember,"On était dans une maison au rez de shuassé et on fêter halooween. Avec Léo et Selma on était allez chercher nos costume, j'allez être déguisé en batman. A un autre moment, Damien était là avec une autre personne et on était sortie ensemble.Maman ne voulait pas. Et d'autre",don't remember,"Il y avait une classe de gamin, peut être 8 ans, et j'étais dans cette classe et l'un des gamins étaient excrable. On s'embettait l'un l'autre. Un moment sa mère est venue et on a discuté u peu, j'avais l'âge que je devais avoir mais apparement j'étais toujours en ce2. A part cela il y avait un chat qui me lécher les doigts. ","J'étais dans une école et j'éais en train d'écrire une bande dessiné. C'était la rentrée. Ensuite, je rentre dans la BD. C'est l'histoire d'un groupe de personne en pleine Apocalypse. Une maladie fait que les personnes deviennent des zombis. On est 5 dans le groupe, un autre groupe nous acompagne, on leur laisse la maison du haut et on prend le bunker du dessus. A un moment on doit s'échapper et un zombie attrappe l'une des personnes. On se retrouve dan sle garage et il y a des zombies, on doit faire attention de ne pas se faire chopper. Après se rêve, j'ai rêvais d'un bot qui trier les objets e ligne. ","hotel resort, feared to be in excess of calorie. There was my mom, my grandmother … In the second part, I was in a prison. There was 4 parts in the prison. Someone try to stab me but I had put some towell in my cloth to protect myself. ","In a class trip, we were trying to have some fun, we were on a train. Then some people try killing everyone, with one of the pistol that fire a lot of little thing. He killed some people. But then the teacher who were some kind of evil start asking for our paper even the dead one. I try to help everyone. Weirdly enough the one who are dead are not and finish the paper. One of the dead guy was one of my classmates in highschool, I can't remeber his name. Then we end up in Atlantis. I try to get a floating thing. And then I go through the slide, it was fun ","I am with my friends and we are waiting in Remi flat his other friend. One of them is the boyfriend of another friends and he want to presient him to us. They are not coming. We decide to go away after having a sleep here. We tidy up.When we go away, I start to think about horror movie and how the character never go into our life then some monster start to appear and with Manon we try to get away from it. then I become hitler (from jojo rabbit) and help kids that are traped in a hole to get away from it. ","I am in a train station with my family, we are waiting for the train to arrive. There I a small kiosk and the train station is empty. At some point I am with selma inside a nearby mall. There is a lounge and a Top chef exhibition. We meet the presenter. After that I was with my mother and father doing some shopping. They both are vaccinated, not me. We go into the metro mom forget our bag, I try to get them bag but its to late. I am upet. We go back to our flat.","1t I was in a grocery store, taking a lot of time to scan everything and people (mostly grandmas) were irritated by me and it wa stressing me out. The shop had 2 entrances point and to set of checkout. It was a very long and narrow shop. One of the clerk, to help me out check me out at the other checkout. She was very nice and made joke about it.
 2. With Paddy we go back to another grocery shop and we buy milk and stuff. The vacum were to expensive. The clerk are nice here
3. We are traveling. there is snow, I want to get a job but not sure where to look. Zoe show me one of her game. There are two teams, one of team is the killing team and the other is the killed team. They try to kill each other. The killing team is very violent. They have very silly name like Marie, compared to their role. They look like gory viking","I go to my job. I am quite confident and the people around me that I feel more confident. Then we have a trainnig session and th hire up interogate us. At some point in the shop (which is very long and narrow, there is a cavern that open up with purple geod. The hire up change to an old woman. She tell us her trip down the cavern where the dangerous trip is deadly. Then we start having some exercice. There is Elijah next to me. We have to correct a french poem so it's easy for me.Then  there is something that made me sad, I don't remeber exactly ",kind of frantic and all over the place ,in a airport with Loic and Gibran. I miss or almost miss my fly. ,Super power can teleport object,,,,,,"rêve HEC avec la famille
 et des cousins. On était en train de manger et je mangeais des frites ","j'étais dans un magasin,
 je faisais le tour, j'essayais de trouver ce que je voulais. Il était immense. A la fin je me suis avancé vers l'arrière du magasin et un nouveau monde est apparu, genre lotr. J'ai fait un autre rêve où j'étais en train de dormir avec selma et léo dans un grand lit. Et puis selma fait pipi dans le lit. C'est à ce moment quel me dit que l'un de ces professeurs l'avait agresser. Je vais dans le lycée. Le professeur est déjà mort donc je ne peut pas venger selma mais j'en discute avec des anciens élèves.","Je suis dans un mall avec
 maman et je 'cherche' quelqu'un avec qui sortir. D'autre chose se sont passé avant mais je ne m'en souviens plus ","Nous étions dans une maison avec Selma, Léo et maman. Mes dent tombés et j'avais d'autre dent en dessous. Nous devions mettre des traits sur les portes pour que les mauvais esprit n'entre pas mais selma métté des runhes pour les laissé rentré. Plus tard, nous étions en plein demmenagement et je fétais mon anniverssaire, ainsi que selma.","really cool dream about a killer game. The idea was you have to be the one with the most kill count or the most monay to win. But if you are not killed at the end of the day, your body will go back to zero damage. At first I almost got killed by a group of people but two cops showed up not knowing where there were and saved me, killing themselves in the process. To avoid getting killed I try hiding myself but it was very hard. At some point I discovered a hidden elevator and I could get into someking of hidden underground building. I cut the elevator off, so nobody could get inside of it. If people discovered the hole, they will just fell to there death. In this building there was a ery, very kawai, child room vibe and loads of coin everywhere (kind of like in mario. I was collecting them. At the end of the game I win with all the coin I got.",J'étais tombé malade (je tenais plus debout) et j'étais à l'hospital mais 3 vieille dame attendaient et juger le faites que j'étais là.elle me disait que je n'avais rien à faire ici.,Dans une vieille maison. On est dans un jardin. On joue à un jeux et notre équipe perdait,"J'étais avec maman et léo. On devait monté un escalier qui était très exigu. Alors que je m'avance, maman vient pour m'aider et nous fait tomber toute les deux. Plus tard dans le rêve je suis une sorte de protecteur d'un fichier. J'était un homme et j'avais une petite amie. Celle ci avait des recherches et c'est recherche étaient importantes pour une orgqnisation. Elle se fqit tuer et je m'enfuie qvec le dossier. Je me déplace comme spider mqn ",,,vignette à un moment on noue donne des cadeaux d'une grande valeur lors d'un défilé. Ensuite je suis une petite fillle en fauteuil roulant avec 2 pères qui s'occupent de moi. Il cherche un cerceuil parce que je suis trop malade.,"dans une sorte de très 
grande maison, plein de vignette, je prends ma douche, je vais en cours et quitte parce que le cours m'énerve. A la fin je suis dans un film (je chercher le nom d'un autre film mais je rentre dans Marie Antoinette, on dance, elle rencontre les dauphins du roi qui c'était d&jà marié et qui avait des enfant. Le fils est très obèse et timide. La nouvelle reine dance à côté de lui. Enfin on parle de caméra et de la vieille dont j'ai perdu le chargeur",,"Dans une auberge de
 jeunesse, je suis avec mes amies(Tanguy, Manon, Rémi, Zoé, Jo) et on mange des manakeesh. Je veux acheter un magnet manakeesh mais je n'ai pas mon portemonnaie. Je vais le chercher, l'escalier s'arrête sur un mur et il faut que je longe la ballustrade pour pouvoir accéder à l'étage supérieur. Il y a 2 femmes et 6 enfants étranges. PLus tard je deviens un rat et je dois arréter quelqu'un qui ensuite me coupe la queue se qui remet à 0 la time loop. Ensuite je suis dans une sorte de convention avec des personnes handicappés. Je n'arrive pas à entendre ce qu'on me dit. Enfin j'ai des super pouvoirs, je peux absorber l'énergie d'un objet et l'utiliser. à un moment j'absorbe l'énergie de toute la pièce ce qui fait que je dois retrouver les personnes que j'ai absorbé.","avec mamié, on monte une montagne sur un télésiège. Quand on arrive en haut, la bar ne se lève pas à temps et je tombe preque de la montagne. Mais je réussie à tomber juste en dessous. Je demande à ce qu'il mette un escalier. Quand je monte l'escalier il y a un ermite bizare qui peut contrôler le soleil.",On est dans l'appartement boulevard péreire et on doit se baricader à l'intérieur pour que personne ne peut rentrer. On met des meubles pour bloquer les portes. On se fait capturer à la fin et on se fait enchainer dans un  train. J'arrive à me libérer et je libère toute les personnes enchainer. Les personnes sautent du train pour pouvoir échapper au personne.,J'ai rêvais que j'étais en stage et je déouvré les différents métier ,,At the end there was something about the queen and the way she was putting her forks and knives to make a little tent. Before that they were a choral of childreen and teenager and four in the middle were the leading voice. They had berries in their shirts. They would fall when they were singing. At the end one of the girl was praise for her voice,,On créé des costumes et on les couds. Après on va chez mamie avec des juif orthodox. Ensuite je deviens un petit garçon qui est mis en famille d'acceuil
anxiety level ,,,,,4,,5,3,6,2,2,2,3,2,3,2,2,2,3,3,3,4,4,2,2,3,4,0,2,4,,,4,,,,2,2,3,1,,,,"4 (petit coup de pression 
ce matin)",4,0,,,,,,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what happened,,,,,,,"try to get a PCR test 
called a medical center
promener dog ac Leo","PCR test with Leo 
déjeuner avec Paddy 
promener chien avec 
Maman","Train to london and 
back to home ","shower +course + 
sent the covid test ",3 cours + avancé project + mini soirée avec Izi et Zel ,"petit 
déjeuner avec Izi and Zel + discussion avec Nuzat",classe Mat + course + travail ,film ,travailler + dépiotage de pallette + appeler Paddy ,cours Josh,course ,"2eme test + 
cleaninng +
watch lecture",travail,cours Matt,work + drawing + jeux ,cours kenneth campus,cours Josh + voir Jo + Primark,relax + psy + see Tanguy and Zoe ,work + clean,work,matt course + course + repassage,work ,work + cours Kenneth + Gaming,,,watch and do nothing ,course ,,cours + appeler maman ,cours ,,psy + course,swift work ,bot ,cours Matt,,,,"lessive + cours ac psy + 
voir Karen + pizza",travail sur app,,,,,,"tutorial with Josh + 
Speak with Ysanne for a long time + spoke to Isy + spoke to Karen ",déjeuner avec Jo,,,,,,
Period ,,,,,,,,no,no,yes,yes,yes,yes,no,no,no ,no,no,no ,no,no,no,no,no,no,no,no,no,no,,,,,,,,,yes,yes,yes,yes,yes,no,no,no,no,,,,,,,no,,,,,,
habit,,,,,,,,,,"Robe à carreau+
cardigan + collier perle + docs Japon",tshirst noir + grande jupe de grand mère ,"robe noire 
avec fleur + gilet ",jean + chemise blanche + badge lune ,jean noir skinny + chemise noir dentelle ,"jean + 
chemise bleu brodé","jean + 
chemise brodé ",jean + chemisier blue ,pantalon beige + chemise rose ,robe à fleur + gilet,,robe uniclo flowy,Chemise blanche tachée + jean + foulard space,chemise bleu tie die gap + jean + gilet + pins lune ,,dress dark blue ,pantalon + t-shirt noir manche ballon ,jean + chemise blanche main ,jean + shirt white ballon sleeve,jean + purple shirt,jean + white shirt ,,,chemise rose + jean ,,,"jean + chemise 
blanche dentelle",,jean + chemise ciel ,"jean + chemise blanche 
main","jean + longue chemise 
à poid blanc",jean + chemise rouge à poid bleu ,jean + chemise blanche,Jean + chemise brodé fleur,jean  + chemise blanche pouffy ,robe longue fleur,jean + chemise rose,,,,,,jean + chemise vichy rose,jean + chemise fleur,robe bleue parapluie,,,,,
makeup ,,,,,,,,,,yes,no,Yes ,yes,no,no,yes,yes,no,no ,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,,yes,yes,yes,yes,yes,no,yes,no,no,,,,,yes,no,yes,no,yes,,,,
read,,,,,,,,,,,,yes,no,yes,yes,no ,no,yes ,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,,yes,yes,yes,yes ,yes,yes,yes ,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,
number,,,,,,,,,,,,2pages,,2pages,1 paragraph,,,1 chapter,1 pages,1pages,,,,,,4  pages,,3pages,,,,,,,,,1 paragraph,1 page,1page,1page,3pages,1 page,2 chapter,,,2 page,,,,2 chapitres,6pages,6 pages,tout shiver de junji ito,,,,,,
weight,,,,,,,,,,,110,,,,,109,,,,,,,108,,,,,,,,,,,,,,106,,,,,105.8,,,104.8,,,,,,,104.5,,104.6,105.6,104.8,105,,
