objet ,Room ,number,Link ,object category,decoration,,,,,,decorative,lien ,Piéce
battery charger,desk,1,2,electronic,,,,,,,,,
google home,desk,1,4,electronic,,,,,,,,,
camera,desk,1,7,electronic,,,,,,,,,
camera charger,desk,1,7,electronic,,,,,,,,,
camera,desk,1,4,electronic,,,,,,,,,
camera charger,desk,1,4,electronic,,,,,,,,,
adaptor,desk,1,3,electronic,,,,,,,,,
apple - key board cover,desk,1,3,electronic,,,,,,,,,
external battery ,desk ,1,3,electronic,,,,,,,,,
Dad Iphone,desk,1,3,electronic,,,,,,,,,
socket,desk,1,2,electronic,,,,,,,,,
square,desk,1,3,stationary ,,,,,,,,,
black ink file ,desk,1,3,stationary ,,,,,,,,,
skotch ,desk,2,3,stationary ,,,,,,,,,
pin box,desk,1,2,stationary ,,,,,,,,,
Sharpener,desk,1,3,stationary ,,,,,,,,,
paper clips - box,desk,1,3,stationary ,,,,,,,,,
glass cleaner cloth,desk,1,3,stationary ,,,,,,,,,
glass cleaner spchit,desk,1,2,stationary ,,,,,,,,,
hole puncher,desk,1,3,stationary ,,,,,,,,,
rubber,desk,1,2,stationary ,,,,,,,,,
battery,desk,1,2,electronic,,,,,,,,,
timer,desk,1,3,electronic,,,,,,,,,
throaway mask - pack,desk ,1,6,care,,,,,,,,,
storage wallet,desk ,1,2,important,,,,,,,,,
passeport,other,1,2,important,,,,,,,,,
health book ,desk,1,2,important,,,,,,,,,
apple pouch ,desk,1,3,other ,,,,,,,,,
flitrap mini book ,desk,1,3,book ,,,,,,,,,
blank sketchbook ,desk,1,6,paper stuff,,,,,,,,,
pouch important paper,desk,1,2,important,,,,,,,,,
fabric mask,desk,7,2,cloth,,,,,,,,,
jumping rode,desk,1,3,sport,,,,,,,,,
massage ball,desk,1,3,sport,,,,,,,,,
padlock,desk,1,3,sport,,,,,,,,,
thermometer,desk,1,3,care,,,,,,,,,
euro purse,desk,1,2,other ,,,,,,,,,
patch ,desk ,10,3,other ,,,,,,,,,
pin ,desk ,53,3,other ,,,,,,,,,
badge,desk,20,3,other ,,,,,,,,,
key chain - misc,desk ,7,3,other ,,,,,,,,,
external drive,desk,1,2,other ,,,,,,,,,
pencil case,desk ,1,4,stationary ,,,,,,,,,
foundation ,bathroom ,1,3,make up,,,,,,,,,
powder ,bathroom ,1,3,make up,,,,,,,,,
face powder ,bathroom ,1,3,make up,,,,,,,,,
lipstick ,bathroom ,10,3,make up,,,,,,,,,
lipstick ,bathroom ,1,7,make up,,,,,,,,,
gloss,bathroom ,3,7,make up,,,,,,,,,
gloss,bathroom ,5,3,make up,,,,,,,,,
cream eyeshadow,bathroom ,7,3,make up,,,,,,,,,
mascara,bathroom ,2,3,make up,,,,,,,,,
eyeliner,bathroom ,2,3,make up,,,,,,,,,
eyebrow pen,bathroom ,1,3,make up,,,,,,,,,
concealer,bathroom ,1,3,make up,,,,,,,,,
nail polish,bathroom ,1,7,make up,,,,,,,,,
nail polish,bathroom ,3,3,make up,,,,,,,,,
highlighter,bathroom ,1,6,make up,,,,,,,,,
highlighter,bathroom ,1,7,make up,,,,,,,,,
perfum,bathroom ,6,3,care,,,,,,,,,
mascara,bathroom ,1,6,make up,,,,,,,,,
mascara,bathroom ,1,7,make up,,,,,,,,,
eyeliner,bathroom ,3,6,make up,,,,,,,,,
primer,bathroom ,4,3,make up,,,,,,,,,
primer,bathroom ,1,7,make up,,,,,,,,,
setting spray,bathroom ,1,3,make up,,,,,,,,,
setting spray,bathroom ,1,6,make up,,,,,,,,,
concealer,bathroom ,3,7,make up,,,,,,,,,
blush,bathroom ,2,7,make up,,,,,,,,,
blush,bathroom ,1,6,make up,,,,,,,,,
glitter - eyeshadow,bathroom ,3,3,make up,,,,,,,,,
glitter - eyeshadow,bathroom ,2,7,make up,,,,,,,,,
lipstick ,bathroom ,1,7,make up,,,,,,,,,
vitamin pack ,bathroom ,3,7,care,,,,,,,,,
perfum,bathroom ,1,1,care,,,,,,,,,
lotion ,bathroom ,2,6,skincare,,,,,,,,,
glasse cleaner spchit,bathroom ,2,6,care,,,,,,,,,
spchit nose ,bathroom ,1,3,medication ,,,,,,,,,
beauty face mask,bathroom ,13,6,skincare,,,,,,,,,
brush ,bathroom ,1,7,bathroom object,,,,,,,,,
night moistorizer ,bathroom ,1,7,skincare,,,,,,,,,
hand cream,bathroom ,1,3,skincare,,,,,,,,,
aspirin,bathroom ,3,4,medication ,,,,,,,,,
face moisturizer,bathroom ,1,6,skincare,,,,,,,,,
eye makeup remover,bathroom ,1,6,skincare,,,,,,,,,
pills,bathroom ,1,6,medication ,,,,,,,,,
eye makeup palettes,bathroom ,2,7,make up,,,,,,,,,
eye makeup palettes,bathroom ,4,3,make up,,,,,,,,,
hand sanitizer,bathroom ,4,6,care,,,,,,,,,
bandage,bathroom ,1,4,care,,,,,,,,,
deodorant,bathroom ,1,6,toileteries,,,,,,,,,
baume du tigre ,bathroom ,1,6,medication ,,,,,,,,,
pads,bathroom ,1,6,toileteries,,,,,,,,,
lens,bathroom ,2,6,medication ,,,,,,,,,
glass cleaner cloth,bathroom ,1,4,other ,,,,,,,,,
sunglass,wardrob,1,3,accessories,,,,,,,,,
essential oil,bathroom ,4,4,care,,,,,,,,,
hair tie,bathroom ,1,3,accessories,,,,,,,,,
bobbi pin ,bathroom ,2,3,accessories,,,,,,,,,
barrette,bathroom ,5,3,accessories,,,,,,,,,
waxing strip,bathroom ,1,6,care,,,,,,,,,
dental floss,bathroom ,1,2,care,,,,,,,,,
foot rasp,bathroom ,1,3,care,,,,,,,,,
clipper,bathroom ,1,2,care,,,,,,,,,
arduino box ,desk,1,5,electronic,,,,,,,,,
printer ink,desk,4,6,art furniture,,,,,,,,,
acrylic thread ,desk ,6,6,art furniture,,,,,,,,,
gorilla glue ,desk,1,6,art furniture,,,,,,,,,
metal wire,desk,5,6,art furniture,,,,,,,,,
pearl ,desk,1,7,art furniture,,,,,,,,,
glass,desk ,1,4,table ware,,,,,,,,,
ink color,desk,1,4,art furniture,,,,,,,,,
molding plaster,desk,1,4,art furniture,,,,,,,,,
staples,desk,1,4,art furniture,,,,,,,,,
epoxy putty ,desk,1,4,art furniture,,,,,,,,,
wood stick,desk,6,4,art furniture,,,,,,,,,
stamp plastic maker,desk,1,6,art furniture,,,,,,,,,
pencil case,desk,1,7,art furniture,,,,,,,,,
nail file,desk,1,6,art furniture,,,,,,,,,
glue ,desk,1,7,art furniture,,,,,,,,,
double sidded tape,desk,1,6,art furniture,,,,,,,,,
plastic tube,desk,1,6,art furniture,,,,,,,,,
screws,desk,1,6,art furniture,,,,,,,,,
material misc,desk,1,6,art furniture,,,,,,,,,
scratch,desk ,1,6,art furniture,,,,,,,,,
drawing gum,desk,1,6,art furniture,,,,,,,,,
pipette/spchit,desk,1,6,art furniture,,,,,,,,,
fabric scraps,desk,1,6,art furniture,,,,,,,,,
clips,desk,2,6,art furniture,,,,,,,,,
ribbon,desk,2,6,art furniture,,,,,,,,,
manuel mini sawing machine,desk,1,7,art furniture,,,,,,,,,
acrylic paint,desk,19,6,art furniture,,,,,,,,,
acrylic paint,desk,4,7,art furniture,,,,,,,,,
glitter,desk,4,7,art furniture,,,,,,,,,
gouache,desk,5,6,art furniture,,,,,,,,,
pipette,desk,11,6,art furniture,,,,,,,,,
watercolor,desk,2,7,art furniture,,,,,,,,,
acrylic ink,desk,1,7,art furniture,,,,,,,,,
oil painting ,desk,25,7,art furniture,,,,,,,,,
oil painting ,desk,5,1,art furniture,,,,,,,,,
glass pliable ,desk,1,7,art furniture,,,,,,,,,
gourd,other,1,2,other ,,,,,,,,,
key ,other,1,2,important,,,,,,,,,
felt pen ,desk,16,3,stationary ,,,,,,,,,
pen ,desk,6,7,stationary ,,,,,,,,,
pencil ,desk,1,7,stationary ,,,,,,,,,
masking tape,desk,6,3,stationary ,,,,,,,,,
stickers pouch,desk,1,3,stationary ,,,,,,,,,
rubber,desk,10,3,stationary ,,,,,,,,,
wire cutter,desk,3,4,stationary ,,,,,,,,,
cutting tool  ,desk,4,3,stationary ,,,,,,,,,
pen,desk,4,2,stationary ,,,,,,,,,
pen ,desk,5,4,stationary ,,,,,,,,,
pencil,desk,3,2,stationary ,,,,,,,,,
tool other 2,desk,2,2,stationary ,,,,,,,,,
paint brush,desk,3,3,stationary ,,,,,,,,,
hairclip,desk,1,3,accessories,,,,,,,,,
puppet,desk,1,3,decoration,x,,,,,,,,
badge,desk,1,1,accessories,,,,,,,,,
fluide glacial - journal,desk,3,3,comics,,,,,,,,,
Silence - Comès,desk,1,3,comics,,,,,,,,,
Preacher - Garth Ennis Steve Dillon,desk,1,3,comics,,,,,,,,,
servir le peuple - Yan Lianke,desk,1,3,comics,,,,,,,,,
"Moi, ce que j'aime, c'est les monstres -Emil Ferris",desk,1,3,comics,,,,,,,,,
Pandora,desk,1,3,comics,,,,,,,,,
L'homme qui ne remarquait pas ,desk,1,3,comics,,,,,,,,,
Petits meurtres et autres tendresses,desk,1,3,comics,,,,,,,,,
The ghost in the shell,desk,1,3,comics,,,,,,,,,
Afterschool Charisma,desk,1,3,comics,,,,,,,,,
Le maître du haut château,desk,1,3,book ,,,,,,,,,
Replay - Ken Grimwood,desk,1,3,book ,,,,,,,,,
L'homme qui prenait sa femme pour un chapeau ,desk,1,3,book,,,,,,,,,
Grandma medals,desk,1,1,sentimantal ,x,,,,,,,,
storage box,desk,2,4,storage,,,,,,,,,
L'art Brut,desk,1,3,book ,,,,,,,,,
nudes,desk,1,3,book ,,,,,,,,,
Les mouvements dans la peinture,desk,1,3,book ,,,,,,,,,
The Art Book ,desk,1,3,book ,,,,,,,,,
Hey!,desk ,1,3,book ,,,,,,,,,
How posters work,desk,1,3,book ,,,,,,,,,
L'histoire,desk,1,3,book ,,,,,,,,,
art review,desk,4,3,book ,,,,,,,,,
Les films clés du cinéma,desk,1,3,book ,,,,,,,,,
Nanarland,desk,1,3,book,,,,,,,,,
cinema review,desk,1,3,book ,,,,,,,,,
Fight club,desk,1,3,DVD,,,,,,,,,
Gataca,desk,1,3,DVD,,,,,,,,,
Get Out,desk,1,3,DVD,,,,,,,,,
Suburbicon,desk,1,3,DVD,,,,,,,,,
Blade Runner (old one),desk,1,3,DVD,,,,,,,,,
Leon,desk,1,3,DVD,,,,,,,,,
Goldmember - Austin Power,desk,1,1,DVD,,,,,,,,,
Split,desk,1,3,DVD,,,,,,,,,
Penny piggy bank ,desk,1,3,decoration,x,,,,,,,,
Cat magnet ,desk ,1,1,decoration,x,,,,,,,,
Selma pluch ,desk,1,1,decoration,x,,,,,,,,
L'espion qui m'a tirée - Austin Power,desk,1,1,DVD,,,,,,,,,
