objet ,Room ,number,Link ,object category,decoration,,,,,,decorative,lien ,Piéce
sponge,bathroom ,2,2,cleaning supply ,,,,,,,,,
toilet cleaner ,bathroom ,1,2,cleaning supply ,,,,,,,,,
drain gel ,bathroom ,1,2,cleaning supply ,,,,,,,,,
all purpose cleaner,bathroom ,1,2,cleaning supply ,,,,,,,,,
glass cleaner,bathroom ,1,2,cleaning supply ,,,,,,,,,
bleach ,bathroom ,1,2,cleaning supply ,,,,,,,,,
bathroom cleaner,bathroom ,1,2,cleaning supply ,,,,,,,,,
shampoo,bathroom ,1,2,care,,,,,,,,,
disinfection lens cleaning,bathroom ,1,2,care,,,,,,,,,
micellar water,bathroom ,2,2,care,,,,,,,,,
eye makeup remover,bathroom ,1,2,care,,,,,,,,,
perfum,bathroom ,1,2,care,,,,,,,,,
deodorant,bathroom ,1,2,care,,,,,,,,,
moistorizer,bathroom ,1,2,care,,,,,,,,,
serum,bathroom ,2,2,care,,,,,,,,,
dry shampoo,bathroom ,1,2,care,,,,,,,,,
oil,bathroom ,1,2,care,,,,,,,,,
mask peel off,bathroom ,1,2,care,,,,,,,,,
brush,bathroom ,2,2,care,,,,,,,,,
cutip,bathroom ,1,2,care,,,,,,,,,
plate,kitchen,2,2,kitchen supply ,,,,,,,,,
bowl,kitchen,2,2,kitchen supply ,,,,,,,,,
fork,kitchen,3,2,kitchen supply ,,,,,,,,,
knife,kitchen,3,2,kitchen supply ,,,,,,,,,
spoon,kitchen,3,2,kitchen supply ,,,,,,,,,
cutting knife,kitchen,1,2,kitchen supply ,,,,,,,,,
pot,kitchen,1,2,kitchen supply ,,,,,,,,,
pan,kitchen,2,2,kitchen supply ,,,,,,,,,
cutting board,kitchen,2,2,kitchen supply ,,,,,,,,,
plat,kitchen,2,2,kitchen supply ,,,,,,,,,
aluminium,kitchen,1,2,kitchen supply ,,,,,,,,,
cooking paper,kitchen,1,2,kitchen supply ,,,,,,,,,
towel ,kitchen,2,2,kitchen supply ,,,,,,,,,
glass,kitchen,3,2,kitchen supply ,,,,,,,,,
kitchen utensil ,kitchen,4,2,kitchen supply ,,,,,,,,,
tupperware ,kitchen,5,2,kitchen supply ,,,,,,,,,
recipe book ,kitchen,1,3,kitchen supply ,,,,,,,,,
tea ball,kitchen,1,4,kitchen supply ,,,,,,,,,
